iter	MultiClass
0	2.187409027
1	2.094036223
2	2.012028799
3	1.941495521
4	1.872552715
5	1.811755356
6	1.755414105
7	1.700544041
8	1.652266083
9	1.602605899
10	1.557020296
11	1.512181658
12	1.471383098
13	1.43215134
14	1.399450266
15	1.367087245
16	1.335817132
17	1.305058817
18	1.274132636
19	1.247777206
20	1.222469663
21	1.197335092
22	1.172577639
23	1.150413291
24	1.130215605
25	1.109762407
26	1.088401727
27	1.069836596
28	1.049183119
29	1.033100394
30	1.015343418
31	0.99781867
32	0.9818756529
33	0.9649336395
34	0.9511101436
35	0.9377003562
36	0.9221390989
37	0.9079203056
38	0.8948330994
39	0.8807550196
40	0.8678495264
41	0.8561857004
42	0.8444592146
43	0.8317289365
44	0.8216365529
45	0.8111179289
46	0.7998885432
47	0.7904467371
48	0.7809623844
49	0.7711897199
50	0.7605591594
51	0.7511256306
52	0.7417318637
53	0.7327931142
54	0.7233452743
55	0.7145959736
56	0.7063367334
57	0.6985036562
58	0.6901251306
59	0.6811267384
60	0.6736406101
61	0.6661698761
62	0.6585814037
63	0.650761168
64	0.6441122812
65	0.6384928695
66	0.6321658677
67	0.6244003238
68	0.6187841611
69	0.6132301166
70	0.6077179226
71	0.6017570157
72	0.595793556
73	0.5902307701
74	0.5843842752
75	0.5790274926
76	0.573308483
77	0.5671557679
78	0.5623091201
79	0.5581013688
80	0.553271933
81	0.5485520357
82	0.5428239752
83	0.5392582148
84	0.5346865733
85	0.5299322904
86	0.5259190549
87	0.5220668778
88	0.5177570145
89	0.5139718678
90	0.5089463305
91	0.5050316485
92	0.5014262423
93	0.4973810194
94	0.4928172683
95	0.4879653215
96	0.4845280134
97	0.4821325962
98	0.478428443
99	0.474480884
100	0.472030543
101	0.4683617035
102	0.4642407087
103	0.4618277314
104	0.4582492069
105	0.4551403979
106	0.4525324794
107	0.44977967
108	0.4461094381
109	0.4431261418
110	0.4410264241
111	0.4393119087
112	0.4364212481
113	0.4334728014
114	0.4311027575
115	0.4282354976
116	0.4264911995
117	0.4233059611
118	0.4201146502
119	0.4173161999
120	0.414829462
121	0.4131731969
122	0.4102614564
123	0.4082896108
124	0.4057169674
125	0.4031221223
126	0.4004556054
127	0.3988223541
128	0.3949974457
129	0.3926688655
130	0.3911747032
131	0.3889741885
132	0.3863693643
133	0.3841090909
134	0.3818696267
135	0.3798872606
136	0.3775538842
137	0.3756478313
138	0.3734576052
139	0.3719983699
140	0.3692739122
141	0.3669782477
142	0.3649912787
143	0.3634230852
144	0.3613367891
145	0.359142463
146	0.3570835902
147	0.3554133233
148	0.3534299514
149	0.351049387
150	0.349110109
151	0.3469724087
152	0.3451896638
153	0.3441190345
154	0.3425105377
155	0.3411196478
156	0.3397404776
157	0.3377549784
158	0.33585875
159	0.3341604796
160	0.3321965632
161	0.3311188556
162	0.3297189923
163	0.3273807037
164	0.3260092693
165	0.3246192304
166	0.3240081826
167	0.3222736702
168	0.3204829962
169	0.3196509764
170	0.3180922785
171	0.3167050438
172	0.3153892101
173	0.3137239328
174	0.3122018251
175	0.310520206
176	0.3088669577
177	0.3075177249
178	0.305617822
179	0.3044212931
180	0.3030335362
181	0.3014858231
182	0.2997419892
183	0.2980361378
184	0.2970825505
185	0.2961191774
186	0.2945274479
187	0.2931100437
188	0.2917604628
189	0.290461319
190	0.2882179869
191	0.2869218795
192	0.285683152
193	0.2841128118
194	0.2828827484
195	0.2814477647
196	0.2797217617
197	0.2782313126
198	0.2774627647
199	0.2762759635
200	0.2749989054
201	0.2729149106
202	0.2719975074
203	0.2703687042
204	0.2688789706
205	0.2680049456
206	0.2663194586
207	0.2645710025
208	0.2631013626
209	0.2613352496
210	0.259645682
211	0.2580425422
212	0.2570540086
213	0.2557790585
214	0.2544842661
215	0.2532235691
216	0.25206042
217	0.2512719139
218	0.2501234434
219	0.2491905686
220	0.2479621297
221	0.2465098373
222	0.2457233231
223	0.2446185597
224	0.2435593406
225	0.242985173
226	0.2422996105
227	0.2418383271
228	0.2407824537
229	0.2398261202
230	0.2388323456
231	0.2378217651
232	0.236466073
233	0.2353236364
234	0.2344558
235	0.2337074038
236	0.2328642058
237	0.2318864443
238	0.2310099632
239	0.2297405828
240	0.2287274688
241	0.2272547733
242	0.2265786484
243	0.2256748214
244	0.2244973418
245	0.223810851
246	0.2230394796
247	0.221948834
248	0.2207285757
249	0.2194400686
250	0.2186122068
251	0.2176748065
252	0.2167573453
253	0.2157913421
254	0.2148327652
255	0.2139983473
256	0.2128810327
257	0.212399907
258	0.2118001147
259	0.2108577056
260	0.2100556426
261	0.2092876362
262	0.2083847181
263	0.2074186569
264	0.2067526272
265	0.2060361023
266	0.204978179
267	0.204454584
268	0.2037403798
269	0.2029823332
270	0.2019988666
271	0.2010936084
272	0.2004791763
273	0.1992952567
274	0.1985921147
275	0.1978012298
276	0.1967465941
277	0.1959989908
278	0.19540823
279	0.1948775181
280	0.1944032193
281	0.193664164
282	0.1927389283
283	0.1917728477
284	0.1910460536
285	0.1898818409
286	0.1891325937
287	0.1883625761
288	0.1874845865
289	0.1868249195
290	0.1862936661
291	0.1857044525
292	0.1850439151
293	0.1843718129
294	0.1836294892
295	0.1828536697
296	0.1824659147
297	0.1817769291
298	0.1812963256
299	0.1804160347
300	0.1799697779
301	0.1794927522
302	0.1790002163
303	0.1783731555
304	0.1776654687
305	0.1767985026
306	0.1764779327
307	0.1756532038
308	0.1749028156
309	0.1743547756
310	0.1734604056
311	0.1727072132
312	0.1723038706
313	0.171365136
314	0.1708526805
315	0.1704290315
316	0.169764839
317	0.1691822975
318	0.1687273574
319	0.1683282888
320	0.167806241
321	0.1673267785
322	0.1668868845
323	0.1662278943
324	0.1657093275
325	0.165266842
326	0.1645561963
327	0.1639529229
328	0.1636891915
329	0.1629938819
330	0.1623341569
331	0.1618313324
332	0.1610667878
333	0.1604479946
334	0.159729207
335	0.1592408774
336	0.1584127448
337	0.1577012675
338	0.1572569834
339	0.1566841213
340	0.1559406082
341	0.1555975369
342	0.155175145
343	0.1547892949
344	0.1543219389
345	0.1539191765
346	0.1533476391
347	0.1528665811
348	0.1523826996
349	0.151767165
350	0.1511433049
351	0.1507066018
352	0.1499665699
353	0.149520816
354	0.1489778719
355	0.1483498732
356	0.1479884971
357	0.1474852761
358	0.1470642863
359	0.1465541806
360	0.1462974113
361	0.14589491
362	0.1454801668
363	0.1449721497
364	0.1445153724
365	0.1440135342
366	0.1436931383
367	0.143030493
368	0.1425564552
369	0.1420041315
370	0.1416115513
371	0.1410774453
372	0.1407229251
373	0.1403940682
374	0.1400139909
375	0.1394995918
376	0.1389944756
377	0.1383842497
378	0.1380151089
379	0.1376889692
380	0.1372237985
381	0.1367323939
382	0.1363816159
383	0.135748995
384	0.1352269858
385	0.1348852779
386	0.1345803729
387	0.1342282217
388	0.1338188839
389	0.1334286534
390	0.1327557389
391	0.132366311
392	0.1319180913
393	0.1317327424
394	0.1313358205
395	0.130959205
396	0.1305661316
397	0.1302536649
398	0.1299062132
399	0.1295826843
400	0.1291162566
401	0.1287752449
402	0.1284476644
403	0.1278990152
404	0.1276831294
405	0.1272753195
406	0.1269377018
407	0.1264072413
408	0.1259727043
409	0.1256894401
410	0.1253190808
411	0.1248389608
412	0.1242856411
413	0.1238363481
414	0.1234674007
415	0.1232089199
416	0.1229962638
417	0.1227151752
418	0.122333222
419	0.1219851321
420	0.1217010653
421	0.1213283273
